id,seed,initialization_valid,qualified,termination_reason,executed_through_frame,task_success,first_success_frame,collision_samples,collision_events,full_episode_audited,duration_s
control,,True,True,success,1000,True,986,3997,0,True,81.45507884025574
seed_00,0,True,False,missed_pickup,64,False,,253,40,False,2.9713828563690186
seed_01,1,True,False,missed_pickup,64,False,,253,4,False,3.0799412727355957
seed_02,2,True,False,missed_pickup,64,False,,253,24,False,2.984999895095825
seed_03,3,True,False,missed_pickup,64,False,,253,59,False,3.006880044937134
seed_04,4,True,False,missed_pickup,64,False,,253,6,False,3.3527159690856934
seed_05,5,True,False,missed_pickup,64,False,,253,53,False,3.2421791553497314
seed_06,6,True,False,missed_pickup,64,False,,253,26,False,3.015883207321167
seed_07,7,True,False,missed_pickup,64,False,,253,53,False,3.0216760635375977
seed_08,8,True,False,missed_pickup,64,False,,253,62,False,3.051429033279419
seed_09,9,True,False,missed_pickup,64,False,,253,62,False,2.9837541580200195
seed_10,10,True,False,missed_pickup,64,False,,253,38,False,3.0844991207122803
seed_11,11,True,False,missed_pickup,64,False,,253,39,False,2.9728541374206543
seed_12,12,True,False,missed_pickup,64,False,,253,54,False,3.0026092529296875
seed_13,13,True,False,missed_pickup,64,False,,253,14,False,2.9220938682556152
seed_14,14,True,False,missed_pickup,64,False,,253,0,False,3.0365097522735596
seed_15,15,True,False,missed_pickup,64,False,,253,13,False,3.052476167678833
seed_16,16,True,False,missed_pickup,64,False,,253,42,False,2.9576711654663086
seed_17,17,True,False,missed_pickup,64,False,,253,44,False,2.9043378829956055
seed_18,18,True,False,missed_pan_hold,269,False,,1073,14,False,11.95277190208435
seed_19,19,True,False,missed_pickup,64,False,,253,0,False,2.925323963165283
